ROI_ID 1
ROI_TYPE MeanRectRoi(vertex1=(277, 56), vertex2=(367, 271), delta_ig=0)
ROI_DESCRIPTION N/A
DATE 2019-11-10
TIME 19:35:41
CAP_FILE testfiles/traffic_light_small.avi
CAP_TITLE testfiles/traffic_light_small.avi
CAP_FPS 25.0

pos_frames,pos_msec,blue_avg,green_avg,red_avg
HEADER_END
356.0,14240.0,37.1017501017501,43.28169515669516,47.324684574684575
357.0,14280.0,37.15491452991453,43.152726902726904,47.336080586080584
358.0,14320.0,37.100172975172974,43.01765364265364,47.31150793650794
359.0,14360.0,37.032814407814406,42.94500407000407,47.43793243793244
360.0,14400.0,36.966066341066345,42.88161375661376,47.36914936914937
361.0,14440.0,36.93691493691494,42.83460520960521,47.505901505901505
362.0,14480.0,36.87220187220187,42.789021164021165,47.43752543752544
363.0,14520.0,36.9002849002849,42.79558404558404,47.45757020757021
364.0,14560.0,36.85861823361823,42.76984126984127,47.45212657712658
365.0,14600.0,36.869352869352866,42.7750814000814,47.454619454619454
366.0,14640.0,36.8507326007326,42.768874643874646,47.4471916971917
367.0,14680.0,36.90125152625153,42.734432234432234,47.46138583638584
368.0,14720.0,36.89535002035002,42.72598697598698,47.452330077330075
369.0,14760.0,36.88934676434676,42.7271571021571,47.44627594627595
370.0,14800.0,36.899827024827026,42.73834961334961,47.47273097273097
371.0,14840.0,36.91264753764754,42.74124949124949,47.47649572649573
372.0,14880.0,36.91992266992267,42.75091575091575,47.48122710622711
373.0,14920.0,36.867317867317865,42.830636955636955,47.54354904354904
374.0,14960.0,36.86675824175824,42.82844932844933,47.551841676841676
375.0,15000.0,36.863502238502235,42.82560032560033,47.54583842083842
376.0,15040.0,36.822903947903946,42.82183557183557,47.53495115995116
377.0,15080.0,36.82488807488807,42.81323768823769,47.54120879120879
378.0,15120.0,36.81929181929182,42.80809930809931,47.53545991045991
379.0,15160.0,36.82051282051282,42.80982905982906,47.53663003663004
380.0,15200.0,36.81761294261294,42.80580993080993,47.52889702889703
381.0,15240.0,36.81761294261294,42.80580993080993,47.52889702889703
382.0,15280.0,36.815527065527064,42.80372405372405,47.52681115181115
383.0,15320.0,36.815527065527064,42.80372405372405,47.52681115181115
384.0,15360.0,36.815527065527064,42.80372405372405,47.52681115181115
385.0,15400.0,37.106532356532355,42.73845136345136,47.850579975579976
386.0,15440.0,37.09096459096459,42.75518925518926,47.85225885225885
387.0,15480.0,37.128866503866504,42.796652421652425,47.84381359381359
388.0,15520.0,37.084452584452585,42.80647130647131,47.82142857142857
389.0,15560.0,37.090811965811966,42.81038868538869,47.825956450956454
390.0,15600.0,37.08684371184371,42.76490638990639,47.78072853072853
391.0,15640.0,37.113146113146115,42.76419413919414,47.790140415140414
392.0,15680.0,37.11329873829874,42.76434676434676,47.790293040293044
393.0,15720.0,37.0513838013838,42.74165649165649,47.76119251119251
394.0,15760.0,36.98188848188848,42.7728428978429,47.78535816035816
395.0,15800.0,36.941697191697195,42.77370777370778,47.781796906796906
396.0,15840.0,36.90644078144078,42.8032153032153,47.74501424501425
